FeatureID,FeatureName,Cluster 8 Average,Log2 Fold Change,P-Value
ENSG00000082175,PGR,0.9157833800378076,5.084787009705989,1.3048827196209791e-40
ENSG00000170500,LONRF2,0.4662933724045717,5.4349277806554355,1.0018112390686966e-39
ENSG00000188735,TMEM120B,0.6700341702570197,4.944032808246674,1.7532424192952825e-36
ENSG00000196208,GREB1,0.8800762298987187,4.826534506994491,3.933053914343583e-35
ENSG00000158458,NRG2,0.24995005097362177,5.868845311852455,7.771605745403909e-35
ENSG00000149451,ADAM33,1.0439090364192438,4.681960408504652,7.771605745403909e-35
ENSG00000233608,TWIST2,0.8380678179703789,4.8135628763512655,1.7559931077131366e-34
ENSG00000103196,CRISPLD2,2.867074114109191,4.495562951349436,9.010091890813364e-34
ENSG00000145808,ADAMTS19,0.2457492097807878,5.429560266326934,4.833812248374014e-33
ENSG00000056736,IL17RB,0.3108622482697145,5.258291097228558,5.212080511931886e-33
ENSG00000116183,PAPPA2,0.19533911546678004,6.457649878868006,5.699007287455443e-33
ENSG00000196739,COL27A1,2.1823369996772524,4.406893701236642,6.14122746954791e-32
ENSG00000144649,GASK1A,0.3675736043729732,4.929533239,3.923658327193952e-30
ENSG00000175356,SCUBE2,0.23524710679870284,5.3010069889225075,3.125123612283254e-29
ENSG00000142494,SLC47A1,0.407481596,4.779208099367779,1.2776943326914692e-28
ENSG00000130222,GADD45G,0.3654731837765562,4.975760515768966,1.4012265238670782e-28
ENSG00000162407,PLPP3,1.266553619639445,4.308575752350706,1.6390073454639785e-28
ENSG00000145362,ANK2,0.30456098648046354,4.9358418759248055,1.992319819171183e-28
ENSG00000107317,PTGDS,2.3041613942694377,4.239780705748316,5.464115998480332e-28
ENSG00000112183,RBM24,0.15333070353844025,5.6270875656490755,2.713786830179814e-26
ENSG00000172987,HPSE2,0.19113827427394606,4.983016331771767,1.1118794151204365e-24
ENSG00000006283,CACNA1G,0.19953995665961402,5.033847634725722,2.0321415491199676e-24
ENSG00000144668,ITGA9,0.5440089344720004,4.247356935106185,2.7287489104597024e-24
ENSG00000170370,EMX2,0.23524710679870284,4.625629192979133,1.2731044248768719e-23
